#{"t_start": 1682629822.210467, "env_id": null}
r,l,t
-9.6,201,4.345991
102.299999,80,5.737452
-7.8,201,9.139265
-15.6,201,12.588877
-7.5,201,15.976834
100.399998,70,17.190958
-10.3,90,18.736007
97.599998,198,22.07637
-2.1,201,25.501578
98.899998,94,27.123493
-14.4,201,30.509307
-9.6,201,33.933893
-108.999997,201,37.32487
-14.7,201,40.738167
-9.3,201,44.107291
-9.0,201,47.541097
-108.699997,201,50.9259
-13.2,201,54.344023
97.999998,172,57.253033
-14.0,29,57.77642
-13.1,155,60.391928
95.399998,164,63.155922
-13.0,39,63.821161
100.299998,9,64.020409
-7.2,201,67.396885
-7.5,201,70.819801
-214.099998,166,73.627301
-3.6,201,77.052235
-7.2,201,80.44313
-13.8,201,83.887618
-27.7,156,86.514138
100.099998,1,86.547743
100.099998,1,86.580719
-7.3,87,88.07253
-9.6,201,91.468168
-201.100006,61,92.526543
-4.8,201,95.912208
-9.6,201,99.340023
-707.500006,201,102.726255
-4.8,201,106.146757
-213.200003,201,109.542417
-203.600003,201,112.957289
-12.0,201,116.361345
-112.600002,201,119.734713
-107.800002,201,123.143757
-109.599997,201,126.526596
93.399998,153,129.145587
-411.099997,201,132.53119
100.699998,37,133.160341
-508.400008,201,136.607694
97.199998,101,138.329412
99.799998,91,139.85673
-3.700003,149,142.403105
-18.6,115,144.361829
-15.6,201,147.731641
-209.599999,201,151.163282
-5.1,201,154.553584
-304.5,201,157.976797
-302.700005,114,159.939676
-501.000011,140,162.300759
-803.300012,201,165.690782
-905.400005,201,169.104308
-808.400003,201,172.459987
-106.600002,201,175.884655
-6.700003,152,178.458113
-107.500002,201,181.86784
97.499998,44,182.612247
95.299998,157,185.268283
-102.100002,201,188.694832
-12.9,201,192.110071
-9.9,201,195.496482
96.499998,115,197.440173
-6.0,201,200.850412
98.699998,92,202.383616
100.799998,14,202.629251
-0.9,201,206.043981
94.299998,165,208.829141
98.799998,177,211.851196
-299.200003,179,214.87393
101.699998,131,217.094959
-899.700005,201,220.50624
98.099998,86,221.95347
-399.900005,160,224.687902
-101.300005,116,226.620427
-1101.30002,161,229.371169
-799.900015,85,230.79803
-7.8,201,234.211071
-4.5,201,237.626582
-105.400002,201,241.009537
96.099998,144,243.457614
-17.7,166,246.294546
98.799998,153,248.88935
98.799998,138,251.214688
101.099998,11,251.412157
95.899998,79,252.738039
97.899998,114,254.681324
97.899998,39,255.37284
-7.5,201,258.746309
92.299998,178,261.776502
99.699998,54,262.693041
-0.300003,147,265.185157
95.399998,137,267.507617
97.299998,96,269.156282
100.299998,99,270.844713
1.700002,140,273.241988
98.399998,173,276.160032
-202.300003,193,279.441538
101.499998,105,281.236863
97.099998,175,284.190132
0.6,201,287.604084
-4.8,201,290.993842
99.099998,132,293.242998
-0.700003,62,294.316771
98.100003,80,295.663211
-203.400006,167,298.523986
-100.600002,201,301.914226
98.999998,74,303.196093
-5.1,201,306.570096
97.199998,68,307.730929
98.799998,78,309.02887
-1.2,201,312.434045
98.099998,98,314.108532
98.899998,109,315.967774
