#{"t_start": 1689378241.868581, "env_id": null}
r,l,t
99.999998,15,0.28844
102.699999,27,0.771393
-99.300002,43,1.528533
104.199999,45,2.352073
105.699999,90,3.973556
107.599999,91,5.600347
102.999999,48,6.527255
101.999999,23,6.99236
104.999999,77,8.420208
103.299999,54,9.417263
-96.900001,52,10.30248
101.799998,36,10.948026
104.099999,53,11.956746
103.299999,51,12.938205
-96.000001,67,14.113659
102.699999,36,14.822778
105.899999,77,16.191817
99.899998,20,16.580033
104.399999,44,17.387014
103.099999,40,18.160331
99.299998,14,18.465818
103.999999,49,19.352727
100.099998,7,19.515664
105.999999,69,20.785737
-94.400001,71,22.075021
101.999999,20,22.510221
103.499999,50,23.474605
104.799999,63,24.602944
103.099999,55,25.667953
99.499998,19,26.056823
107.399999,74,27.442873
102.999999,42,28.276808
103.899999,48,29.163022
102.099999,36,29.868731
104.099999,50,30.801118
-99.400002,6,30.946123
101.599998,43,31.750693
100.099998,22,32.185545
103.199999,32,32.813386
-98.300002,17,33.170516
-100.700002,20,33.574427
101.599998,16,33.88506
105.099999,66,35.188036
106.699999,100,36.993777
104.599999,58,38.17072
103.699999,61,39.281509
100.699998,13,39.539318
-96.300001,40,40.278887
100.299998,3,40.388491
99.899998,20,40.809027
103.299999,54,41.816727
102.999999,48,42.637727
102.799999,52,43.556431
101.199998,36,44.185047
100.999998,10,44.39533
102.799999,28,44.957227
100.199998,20,45.447861
105.199999,61,46.656286
102.799999,31,47.29662
107.199999,111,49.275468
103.799999,62,50.388119
102.899999,50,51.350534
104.099999,71,52.670279
102.199999,43,53.521903
106.299999,72,54.910755
102.999999,54,55.926671
103.699999,43,56.70242
100.399998,25,57.187038
103.599999,45,58.021918
-101.600002,11,58.249397
100.199998,23,58.74856
-100.600002,12,59.059917
101.999999,23,59.510384
101.499998,27,60.090563
104.799999,57,61.174209
104.499999,51,62.242538
103.299999,54,63.252252
104.499999,51,64.223781
105.999999,84,65.785132
99.699998,15,66.106289
102.399999,27,66.626119
-95.000001,50,67.642638
100.099998,25,68.125859
102.199999,22,68.53055
104.099999,62,69.641286
100.599998,21,70.093061
103.099999,49,71.018686
103.999999,58,72.083265
100.899998,9,72.297052
100.199998,32,72.909448
99.099998,12,73.188853
101.799998,18,73.590011
99.799998,19,73.945651
103.599999,42,74.741399
101.099998,26,75.225831
105.899999,71,76.567668
-101.200002,12,76.858741
101.799998,18,77.234643
100.999998,13,77.48932
101.399998,26,78.055247
102.299999,44,78.846879
101.799998,33,79.491237
103.199999,59,80.613099
104.099999,59,81.753805
104.599999,67,82.945913
104.599999,64,84.144252
102.499999,37,84.821537
100.599998,21,85.273632
103.499999,41,85.985256
100.099998,7,86.164155
101.999999,50,87.095331
100.199998,2,87.212504
99.999998,9,87.454004
103.699999,61,88.612994
105.199999,73,89.919361
101.099998,29,90.471691
102.099999,21,90.912571
104.799999,69,92.151196
105.799999,73,93.507369
102.099999,48,94.394061
101.599998,28,94.944065
100.599998,39,95.665131
103.599999,57,96.72823
102.999999,39,97.456009
99.999998,24,97.984708
103.199999,32,98.552362
102.499999,25,99.066667
103.199999,38,99.81017
99.199998,16,100.14828
-94.400001,62,101.241159
102.399999,36,101.948669
101.399998,23,102.416594
104.299999,58,103.438856
101.199998,39,104.177038
104.099999,44,105.031504
104.499999,75,106.394329
101.599998,46,107.202408
100.499998,8,107.379681
-99.100002,27,107.975141
-101.200002,12,108.218471
-99.900002,13,108.478094
101.199998,12,108.721402
102.699999,36,109.413813
105.599999,68,110.570787
104.699999,89,112.187358
99.799998,19,112.562564
104.899999,55,113.524284
103.499999,53,114.459355
101.099998,11,114.716787
104.199999,54,115.762605
103.199999,50,116.712726
102.099999,27,117.227011
102.899999,29,117.856565
99.599998,5,118.047962
-97.700001,41,118.820786
103.399999,34,119.448026
