#{"t_start": 1689531136.1129184, "env_id": null}
r,l,t
-12.3,201,4.444299
-15.9,201,7.91351
-14.7,201,11.370377
-17.4,201,14.837051
-9.0,201,18.226966
-15.0,201,21.644906
-15.0,201,25.065207
-35.100001,140,27.487583
-26.800001,163,30.249039
-13.2,201,33.671078
-11.1,201,37.097081
-17.4,201,40.538389
-12.6,201,43.937296
-11.7,201,47.370661
-10.2,201,50.779864
-9.0,201,54.188965
-12.6,201,57.559092
-29.200001,154,60.237063
-9.3,201,63.634529
97.199998,146,66.122235
100.399998,31,66.700378
-12.0,201,70.123827
-21.800001,126,72.271748
-10.8,201,75.71582
-22.900001,139,78.089149
-6.3,201,81.4786
-8.1,201,84.887604
-21.500001,30,85.427567
-9.6,201,88.83348
-7.5,201,92.210278
97.899998,150,94.775229
-8.1,201,98.207008
101.599998,46,99.00961
-6.3,201,102.439007
-22.9,49,103.280799
98.999998,41,104.043092
-23.100001,185,107.185271
-19.5,89,108.732349
-20.2,40,109.43317
-0.3,201,112.87265
102.299999,71,114.086046
97.199998,92,115.682527
-9.9,201,119.141366
99.699998,129,121.388693
-18.4,52,122.283608
-18.4,130,124.518351
100.299998,186,127.664915
-5.1,201,131.096051
-20.2,43,131.84433
-19.9,64,132.974751
101.300003,67,134.119728
102.599999,122,136.194898
-22.8,170,139.139464
97.300003,141,141.548572
0.0,201,144.952659
96.599998,95,146.603481
-20.0,63,147.716603
95.199998,177,150.728135
99.199998,67,151.874599
99.499998,175,154.890863
101.699998,53,155.802798
-19.400001,159,158.511425
-19.6,118,160.539194
-19.0,25,161.032294
100.399998,61,162.077981
98.099998,83,163.524294
101.499998,42,164.256002
102.999999,81,165.686473
-23.9,114,167.643545
98.699998,158,170.331311
100.799998,53,171.24533
99.699998,96,172.924287
-5.7,201,176.361154
101.699998,71,177.575625
103.299999,141,179.991364
-20.100001,140,182.401427
-19.6,55,183.384603
100.599998,33,183.966843
99.099998,60,184.994831
-18.8,54,185.955108
100.899998,75,187.234989
101.099998,32,187.834139
100.999998,145,190.314913
-16.6,97,191.982721
-22.0,91,193.527537
102.399999,87,195.029588
100.299998,174,197.983198
-18.7,49,198.864186
100.999998,103,200.644241
-19.0,55,201.591362
100.699998,7,201.744777
99.799998,106,203.583858
102.199999,25,204.035975
-9.9,201,207.476807
-17.3,99,209.156878
101.199998,132,211.42166
101.499998,57,212.430519
101.600003,79,213.773851
-21.9,152,216.393453
103.199999,53,217.307721
-21.500001,12,217.542866
-19.800001,50,218.438854
101.499998,123,220.539606
101.399998,92,222.099784
-18.5,57,223.103322
101.299998,40,223.808649
102.499999,73,225.081071
101.299998,37,225.723912
104.299999,82,227.115641
101.199998,105,228.923418
100.800003,125,231.072797
-18.8,36,231.73604
-20.900001,93,233.347138
100.899998,12,233.58029
104.199999,102,235.340384
102.699999,99,237.046561
-15.6,161,239.794901
-19.5,32,240.357158
100.199998,14,240.658763
102.099999,48,241.508704
102.299999,68,242.671046
101.099998,38,243.371391
-21.0,38,244.032773
102.999999,57,245.04569
-16.7,84,246.469594
102.599999,44,247.269382
102.799999,127,249.444651
102.199999,58,250.442839
-22.900001,31,250.991399
100.499998,62,252.091504
102.900003,74,253.356259
101.199998,117,255.363048
-21.800001,15,255.649031
100.499998,71,256.893624
100.799998,134,259.202755
101.499998,192,262.462529
100.499998,146,265.006011
-18.3,47,265.825616
102.699999,99,267.547479
103.299999,87,269.011636
99.999998,108,270.874618
103.599999,66,272.028587
-21.0,26,272.496548
102.999999,102,274.257839
105.199999,121,276.348836
99.299998,104,278.11248
-19.1,27,278.627398
100.799998,71,279.846524
-15.500001,156,282.499449
99.799998,130,284.730618
104.299999,70,285.966921
102.899999,83,287.416476
-16.3,118,289.440564
100.999998,58,290.437307
-18.0,53,291.350454
99.999998,54,292.314978
99.099998,129,294.520908
100.299998,81,295.92619
100.799998,41,296.646121
-19.4,117,298.652592
-18.3,50,299.515413
101.899999,58,300.563447
100.899998,198,303.913831
100.999998,175,306.89241
-20.9,12,307.127059
102.399999,75,308.399768
-21.100001,7,308.550367
101.299998,67,309.733197
103.299999,102,311.493424
100.599998,36,312.127638
-18.800001,45,312.902986
-19.4,27,313.389602
102.199999,52,314.317482
101.899999,28,314.815585
102.099999,33,315.395326
102.399999,36,316.063196
102.399999,54,316.998228
103.199999,47,317.811168
99.999998,81,319.223634
100.399998,73,320.522117
-18.3,65,321.640325
101.499998,90,323.209494
-17.9,24,323.641368
-18.0,35,324.2593
103.199999,80,325.658007
100.699998,22,326.060002
-16.8,113,327.99943
101.299998,37,328.65032
100.899998,12,328.884616
100.600003,90,330.45186
-17.1,107,332.293003
104.499999,69,333.470683
-18.6,47,334.318959
100.699998,19,334.66682
-18.9,41,335.384289
101.499998,27,335.865186
104.199999,99,337.569437
105.999999,111,339.479084
-19.900001,10,339.679083
100.599998,9,339.864952
101.599998,61,340.941043
-18.7,37,341.591283
-16.2,89,343.129056
101.199998,141,345.543938
102.199999,76,346.845668
104.899999,88,348.376886
100.699998,34,348.972837
-18.6,17,349.29138
102.299999,65,350.451532
101.899999,61,351.502777
101.799998,54,352.466562
-18.4,34,353.064865
102.099999,60,354.12813
101.999999,86,355.58175
103.399999,58,356.602707
100.999998,28,357.099462
101.099998,68,358.255651
102.799999,58,359.280721
102.699999,93,360.888657
-17.8,49,361.743489
102.200003,40,362.439053
101.499998,24,362.907051
101.499998,186,366.076126
-21.000001,11,366.295479
99.899998,89,367.837647
102.299999,122,369.932815
101.499998,135,372.255617
100.300003,132,374.520562
-17.2,85,375.958043
103.799999,62,377.09233
106.099999,85,378.572637
-18.8,72,379.798028
102.999999,90,381.368774
102.899999,158,384.08063
-19.9,1,384.129903
101.199998,63,385.242814
-18.6,77,386.549933
103.399999,106,388.376707
-15.1,112,390.299323
101.699998,86,391.793961
-19.6,34,392.39027
101.399998,26,392.850893
101.199998,51,393.736072
101.799998,108,395.598309
-19.6,37,396.278742
101.399998,50,397.143515
-18.5,39,397.829926
102.799999,88,399.355021
-21.8,51,400.233895
102.399999,87,401.752879
103.099999,73,403.025312
100.299998,63,404.106611
-20.4,59,405.15304
99.800003,73,406.404985
-20.1,71,407.644985
101.599998,19,407.999811
100.999998,43,408.745654
103.299999,144,411.213054
-19.6,22,411.642662
99.399998,39,412.324392
102.199999,85,413.766373
103.099999,100,415.487041
100.699998,79,416.858969
99.999998,36,417.493719
103.199999,80,418.883303
102.699999,63,419.962884
103.199999,86,421.459154
