#{"t_start": 1690330778.5383134, "env_id": null}
r,l,t
-44.529858,201,5.636443
-25.770578,201,9.064781
-14.472837,201,12.499649
12.595663,201,15.892656
-23.542747,201,19.264719
-6.832895,201,22.720213
-86.018926,201,26.122651
-32.832141,201,29.526354
-10.58327,201,32.93033
-1.041451,201,36.404876
-719.440179,201,39.802505
-252.894167,201,43.22349
54.666491,201,46.612465
-920.066662,201,50.077085
-294.078572,201,53.541276
44.347157,201,56.91426
58.346829,201,60.372842
31.808891,201,63.79429
20.201703,201,67.170928
41.246471,201,70.554235
-5.046466,201,73.961611
46.924257,201,77.337778
62.173687,201,80.802884
145.714116,92,82.366367
66.952617,201,85.724959
82.35172,201,89.104347
126.558655,148,91.708088
57.514052,201,95.124017
40.059662,201,98.511302
26.4013,201,101.917988
104.392328,201,105.316355
190.039178,179,108.347832
9.881663,201,111.936072
79.960098,201,115.338104
34.467783,201,118.747983
88.083999,201,122.212882
161.041409,56,123.209456
179.201936,67,124.349018
147.025313,81,125.759378
38.800828,201,129.199719
-60.095646,201,132.632068
144.329588,200,136.028869
65.549448,79,137.41996
-14.910507,201,140.851302
121.560088,15,141.168239
123.043711,53,142.131499
189.843788,67,143.273332
2.864752,201,146.665488
70.755265,201,150.066812
188.111186,59,151.103491
169.109097,173,154.021544
104.07242,201,157.414972
43.147944,201,160.79577
152.696452,31,161.345959
99.596098,201,164.737788
70.917945,201,168.158539
180.545455,186,171.464307
68.102815,201,174.872117
135.065327,21,175.256995
184.945074,58,176.248885
206.945394,73,177.50557
147.089587,33,178.083155
174.271922,47,178.89564
168.259108,67,180.058348
118.877542,20,180.423601
66.576156,201,183.888798
211.743026,153,186.479291
180.760055,201,189.885987
91.659017,201,193.262527
79.236683,201,196.65003
94.863836,201,200.167104
218.468852,121,202.226492
43.423861,201,205.595659
100.769402,1,205.64954
152.537486,29,206.160842
213.944432,70,207.371099
165.42351,201,210.747983
89.965373,201,214.147009
143.281004,25,214.603242
142.604465,201,217.996939
64.741902,201,221.384692
-135.645605,201,224.817137
154.837423,83,226.230965
181.374597,50,227.097626
-3.364037,201,230.477808
123.620934,113,232.424283
264.845101,100,234.114588
130.347579,20,234.476175
144.470766,30,235.009704
237.251599,104,236.780463
143.273206,27,237.273408
244.378946,81,238.651515
139.508612,27,239.135532
193.200039,56,240.086999
176.119757,47,240.931739
128.950593,201,244.386486
201.479812,99,246.059373
132.470797,201,249.432295
100.641782,201,252.867501
83.911613,201,256.297676
90.461173,201,259.765894
114.920356,201,263.129183
58.222494,201,266.521883
181.095073,48,267.351048
127.329046,21,267.747446
165.221582,43,268.516408
109.539676,201,271.956814
77.68337,201,275.397801
104.998145,201,278.770661
119.544542,16,279.074221
207.826804,63,280.164569
226.234578,74,281.48778
93.742956,201,284.8959
156.184861,37,285.538903
170.848159,70,286.784318
97.990217,201,290.33441
140.703335,28,290.853355
135.005169,201,294.263461
173.816548,45,295.078419
147.691873,79,296.436131
73.450089,201,299.851561
165.434489,39,300.579676
138.15907,201,304.164548
186.649981,53,305.096468
175.94499,49,305.993469
115.164938,9,306.178404
178.71902,55,307.11388
110.99867,201,310.513713
72.070219,201,313.930258
159.976354,39,314.62833
-16.94146,201,317.998084
91.280766,201,321.509717
184.105149,81,322.886226
192.449815,58,323.902891
182.097299,59,324.93153
74.335289,201,328.363045
113.826263,8,328.529178
170.049635,44,329.295535
160.79283,201,332.701691
169.285832,117,334.695299
81.773997,201,338.117708
147.273252,181,341.196447
196.302376,62,342.252365
108.488388,7,342.42047
105.108338,78,343.743394
231.143115,80,345.164977
26.433448,201,348.552439
67.29001,201,352.029215
164.353684,37,352.679072
231.299559,173,355.661028
132.510428,201,359.045999
104.683259,201,362.489619
164.042733,145,364.934765
190.78525,57,365.914991
39.182452,201,369.364504
115.654223,14,369.635017
160.29499,48,370.511742
128.573261,22,370.90462
159.228479,38,371.573308
117.647442,34,372.162965
130.511176,19,372.544764
198.654768,201,375.964926
90.035509,201,379.413175
176.118872,114,381.355009
263.394075,99,383.047603
245.411029,88,384.594491
-3.166962,201,388.033421
141.364589,27,388.512448
138.205565,43,389.328431
100.295824,201,392.716689
114.962761,201,396.09192
33.63675,201,399.497422
166.483468,44,400.270893
102.441516,5,400.385042
145.488847,33,400.976393
189.514389,67,402.123128
198.3534,65,403.247386
282.240536,112,405.171008
197.508472,60,406.217651
157.163699,36,406.857894
157.556083,74,408.128083
203.681919,67,409.299229
99.604216,201,412.712329
204.465864,69,413.901793
230.39856,75,415.179427
219.324403,70,416.392771
221.205159,82,417.785094
226.559918,75,419.08442
206.900714,101,420.904499
179.511203,201,424.37992
169.396414,46,425.175457
248.855002,119,427.183063
265.199791,107,429.028075
224.296182,76,430.354429
114.902695,201,433.731754
59.836568,201,437.136359
86.029413,201,440.619703
161.611951,35,441.264942
153.139192,37,441.916509
268.063004,145,444.357784
8.413544,201,447.88107
73.55998,201,451.265946
127.087954,16,451.603273
170.832269,61,452.645458
107.016697,201,456.048438
68.003454,201,459.392926
207.97734,91,460.948498
185.53,201,464.344619
156.108809,38,465.009547
69.633151,201,468.382
165.508918,74,469.735534
121.631562,58,470.751966
195.960568,135,473.039747
136.201777,33,473.628014
213.237479,62,474.685725
155.026176,37,475.334591
220.321198,91,476.900534
244.946582,86,478.359026
196.929255,57,479.340494
159.551009,36,479.999769
184.208255,106,481.836536
187.954893,61,482.874928
60.763237,201,486.315575
68.272239,201,489.746261
75.559047,201,493.16404
80.0539,201,496.570263
180.393603,63,497.649428
152.58161,30,498.181026
74.937524,201,501.620042
170.194263,49,502.47042
-3.581167,201,505.890279
76.533623,201,509.311136
79.458525,201,512.783485
112.475703,201,516.186884
-323.03449,201,519.567229
169.831612,50,520.448266
150.697982,201,523.816233
142.591129,27,524.295861
161.568262,39,524.972309
127.70635,24,525.403577
51.833649,201,528.797715
-4.833612,201,532.203744
172.856031,49,533.053527
43.630845,201,536.463729
-13.006606,201,539.859787
181.734422,80,541.266515
154.7019,41,541.982996
244.270577,85,543.456537
174.646737,48,544.305035
144.37493,28,544.805458
228.546339,77,546.146979
63.926887,201,549.510255
203.828796,72,550.809945
163.708077,201,554.213353
103.525943,201,557.617882
82.004247,201,561.108811
192.698111,105,562.907697
172.821891,41,563.623321
215.858027,189,566.800516
257.331418,88,568.338793
199.644768,69,569.512587
209.162617,77,570.833629
221.747363,85,572.288255
115.049892,8,572.454878
161.439176,201,575.896168
147.525926,60,576.93858
95.675989,201,580.333055
112.480381,12,580.565552
127.082453,15,580.850691
112.555811,8,581.016393
215.810504,93,582.595979
214.389183,70,583.811848
170.290285,44,584.576745
178.023355,49,585.424076
181.340691,54,586.372826
123.760634,19,586.704789
17.432159,201,590.189821
131.790133,18,590.526888
182.540495,54,591.457699
111.501751,10,591.689428
116.132188,201,595.099835
150.081176,38,595.76807
204.215982,78,597.09744
143.090433,201,600.477958
250.465449,95,602.172141
