,Tiempo_total,Cantidad_Colisiones,EGO_SCORE,Recorrido_total
0,99.2811181545258,0,8.5636313877896,24.7130600821437
1,110.061218738556,0,16.6126112067059,24.8284910724892
2,119.855003833771,0,3.34065366835125,27.6640886059472
3,128.396713972092,1,8.26688577672014,28.3812154730736
4,113.656011581421,0,1.92492880713208,26.911465827869
5,124.952652215958,1,12.4797368305529,26.9430582911268
6,96.6636319160461,1,16.1065243390004,24.2056806887588
7,150.341224193573,2,18.0093613276269,30.8274547083779
8,129.7911632061,0,2.28585139491575,29.7181074618293
9,104.518349647522,0,2.44112886528766,24.4339112445878
10,104.528925418854,0,2.44088188273649,24.4339112445878
PROMEDIO,116.549637534402,0.636363636363636,8.40656322607447,26.6418586091628
