,Tiempo_total,Cantidad_Colisiones,EGO_SCORE,Recorrido_total
0,141.632,2.0,30.6576407917258,47.103438335998604
1,87.43599999999998,2.0,25.942153368729617,31.075528584046598
2,94.49199999999996,2.0,8.733966775153045,38.09034529983032
3,93.4380000000001,1.0,11.860816282101142,34.03001848762566
4,94.394,2.0,27.485035949787207,32.95929406531068
5,93.19799999999998,0.0,11.863110953102417,33.909028620344614
6,92.80000000000007,0.0,14.985028525878633,33.4278306963085
7,118.66499999999996,1.0,26.95540323403313,39.498312131191405
8,131.94299999999998,4.0,45.61056090088983,44.51579683558783
9,114.46499999999992,0.0,21.893038420805716,39.260345429731295
10,114.88099999999986,0.0,21.81376069878855,39.3986039023711
PROMEDIO,107.03127272727271,1.2727272727272727,22.527319627363187,37.56986748984969
