,Tiempo_total,Cantidad_Colisiones,EGO_SCORE,Recorrido_total
0,100.56732249259949,0.0,12.322105328944573,25.182888408301817
1,102.59940838813782,3.0,20.131487024392538,25.491127663655828
2,145.64516973495483,0.0,8.521311214125976,34.413670706329356
3,260.745263338089,0.0,7.577725907579575,39.900904825859676
4,131.80148029327393,0.0,6.008137152802864,30.32765020880744
5,105.81400609016418,4.0,20.721371787791504,25.690510853416384
6,141.19416165351868,0.0,6.878749752598835,34.068622891758615
7,141.20502257347107,0.0,0.0,0.0
8,304.6488239765167,0.0,4.250269708488145,42.47396012681577
9,122.83079671859741,0.0,6.138704224332496,26.9074640360341
PROMEDIO,155.70514552593232,0.7,9.254986210105653,28.4456799720979
