,Tiempo_total,Cantidad_Colisiones,EGO_SCORE,Recorrido_total
0,75.298,0.0,1.901701793667108,27.790729259234904
1,75.30000000000001,0.0,0.0,0.012381069483511255
2,78.46000000000001,0.0,5.30067767654485,30.284338536484995
3,137.07299999999998,0.0,3.645384295934865,30.384305565119902
4,86.13199999999995,0.0,14.274042714396701,32.59971902837493
5,108.89999999999998,0.0,6.522110999451526,38.91244425761064
6,104.13300000000004,0.0,11.344059390107184,35.795967785306644
7,71.96600000000001,0.0,9.486314351465326,27.78278079941002
8,79.39999999999998,0.0,12.168995379200513,29.522015027437106
9,74.73199999999997,0.0,12.551102515481334,27.868081083426375
10,72.09899999999993,1.0,26.628762406299856,27.36321881930533
11,72.72299999999996,1.0,26.400274201171744,27.459962456176214
PROMEDIO,86.35133333333333,0.16666666666666666,10.851952143643418,27.98132864061421
