,Tiempo_total,Cantidad_Colisiones,EGO_SCORE,Recorrido_total,Recorrido global path
0,105.877949476242,2,19.6623241631459,28.5264487046571,0
1,95.444064617157,1,6.79392695602485,46.7619637560528,0
2,74.5903677940369,0,4.22064585526191,24.8425532735175,0
3,103.020032405853,0,0,26.1995978334451,0
4,105.0515396595,1,20.8348625393374,27.7721048149072,0
5,76.780487537384,1,8.33068692875118,25.227944928872,0
6,90.78271317482,1,9.89193965410595,24.860245393429,0
7,86.907996892929,1,5.35857120074797,51.8169925410469,0
8,92.7122337818146,1,13.2154996177538,25.9866847002063,0
9,113.817399501801,1,8.86626685751817,29.4092042543479,0
PROMEDIO,94.4984784841538,0.9,9.71747237726472,31.1403740200482,0
,,,,,
,,,,,
,,,,,
,,,,,
,149.016831455781,,,,
