,Tiempo_total,Cantidad_Colisiones,EGO_SCORE,Recorrido_total,Recorrido global path
0,62.4450905323029,0,0,23.9205917612724,0
1,58.8261268138885,0,0,24.7035948345283,0
2,58.0647752285004,0,0,23.8191144215455,0
3,58.6257722377777,0,0,23.876048196118,0
4,59.1194472312927,0,0,23.9123375471343,0
5,58.3322370052338,0,0,23.8311316093782,0
6,58.0643131732941,0,0,24.7196302673291,0
7,57.502831697464,0,0,23.6613771360402,0
8,58.6243529319763,0,0,24.6247503602006,0
9,58.0123543739319,0,0,23.7974910450538,0
10,57.6761064529419,0,0,23.647048844026,0
PROMEDIO,58.6630370616913,0,0,24.0466469111479,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,110.557262154726,,,,
