,Tiempo_total,Cantidad_Colisiones,EGO_SCORE,Recorrido_total,Recorrido global path
0,77.9058742523193,1,4.98040861189888,24.1188246358964,0
1,89.6488175392151,1,13.7465474260541,23.2571716758062,0
2,85.7011206150055,2,9.2960600442858,26.8917113346641,0
3,65.2190141677856,0,3.56335112826042,24.2514001721482,0
4,73.101658821106,1,8.18589658582558,24.1633218592884,0
5,66.9991960525513,1,6.62706484176382,24.4019622797047,0
6,80.5397465229034,1,5.740082120747,22.5838902866485,0
7,88.9607782363892,2,9.4092765048897,27.639685563282,0
8,64.1981542110443,0,3.2207499204088,24.1503221047124,0
9,64.5304129123688,0,1.59708205901549,24.2624117613027,0
PROMEDIO,75.6804773330689,0.9,6.63665192431496,24.5720701673454,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,119.34811275425,,,,
