,Tiempo_total,Cantidad_Colisiones,EGO_SCORE,Recorrido_total,Recorrido global path
0,55.2332770824432,0,0,22.066786491366,0
1,52.7768304347992,0,0,22.3038577838248,0
2,52.1384701728821,0,0,42.7302343956261,0
3,52.5507187843323,0,0,42.8516471939393,0
4,52.6738061904907,0,0,22.3559467294699,0
5,52.5265045166016,0,0,22.2621189701369,0
6,52.7879500389099,0,0,22.3379114441753,0
7,52.1383416652679,0,0,22.0952335991226,0
8,52.309885263443,0,0,42.6561686651095,0
9,54.0621576309204,0,0,22.6057000025981,0
10,52.6514284610748,0,0,22.1714840970418,0
PROMEDIO,52.8953972946514,0,0,27.8579172156737,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,102,,,
,,,,,
,,,,,
,0.52,,,,
 ,0.98,,,,
,99.687479516843,,,,
